1:139842821494528:2015-10-06 12:17:36.686 EDT -LOG:  Starting GTM proxy at (*:6666)
LOCATION:  main, proxy_main.c:813
1:139842811172608:2015-10-06 12:18:08.176 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842802779904:2015-10-06 12:18:38.181 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842811172608:2015-10-06 12:19:08.180 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842802779904:2015-10-06 12:19:38.188 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842811172608:2015-10-06 12:20:08.206 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842811172608:2015-10-06 12:20:38.227 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842802779904:2015-10-06 12:21:08.213 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842802779904:2015-10-06 12:21:38.259 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842802779904:2015-10-06 12:22:08.223 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842811172608:2015-10-06 12:22:38.276 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842811172608:2015-10-06 12:23:08.257 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842802779904:2015-10-06 12:23:38.297 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842811172608:2015-10-06 12:24:08.286 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842811172608:2015-10-06 12:24:38.303 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139842811172608:2015-10-06 12:24:58.544 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
