1:139637956794112:2015-10-06 12:25:09.945 EDT -LOG:  Starting GTM proxy at (*:6666)
LOCATION:  main, proxy_main.c:813
1:139637946472192:2015-10-06 12:25:40.236 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637946472192:2015-10-06 12:26:10.257 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637946472192:2015-10-06 12:26:40.264 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637938079488:2015-10-06 12:27:10.279 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637946472192:2015-10-06 12:27:40.616 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637946472192:2015-10-06 12:28:10.298 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637938079488:2015-10-06 12:28:40.317 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637946472192:2015-10-06 12:29:10.331 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637938079488:2015-10-06 12:29:40.436 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637938079488:2015-10-06 12:30:10.368 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637938079488:2015-10-06 12:30:40.390 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637938079488:2015-10-06 12:31:10.387 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637938079488:2015-10-06 12:31:40.726 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637946472192:2015-10-06 12:32:10.418 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637946472192:2015-10-06 12:32:40.396 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637938079488:2015-10-06 12:33:10.435 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:139637946472192:2015-10-06 12:33:35.067 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
